global_cluster_uid,n_local_clusters,n_mentions,canonical_name,canonical_names,local_cluster_uids,chunk_min,chunk_max
global_cluster_000000,3,20,the endless fields of space,distant spaces|space|the endless fields of space,chunk_000::cluster_003|chunk_000::cluster_019|chunk_000::cluster_032,0,0
global_cluster_000001,1,19,the Galaxy,the galaxy,chunk_000::cluster_000,0,0
global_cluster_000002,1,210,I,i,chunk_000::cluster_002,0,0
global_cluster_000003,1,14,we,we,chunk_000::cluster_030,0,0
global_cluster_000004,13,13,you,you,chunk_000::cluster_005|chunk_000::cluster_006|chunk_000::cluster_007|chunk_000::cluster_009|chunk_000::cluster_011|chunk_000::cluster_012|chunk_000::cluster_026|chunk_000::cluster_036|chunk_000::cluster_037|chunk_000::cluster_048|chunk_000::cluster_049|chunk_000::cluster_050|chunk_000::cluster_072,0,0
global_cluster_000005,1,4,the universe,the universe,chunk_000::cluster_045,0,0
global_cluster_000006,4,5,billions of planets of other solar systems,billions of planets of other solar systems|other solar systems|our system|the solar system,chunk_000::cluster_017|chunk_000::cluster_044|chunk_000::cluster_061|chunk_000::cluster_062,0,0
global_cluster_000007,3,8,our world,all the worlds|all those revolving worlds|our world,chunk_000::cluster_024|chunk_000::cluster_035|chunk_000::cluster_063,0,0
global_cluster_000008,3,6,the only one who had ever made signs,the only one who had ever made signs|the sign|those who meant to make a sign,chunk_000::cluster_028|chunk_000::cluster_033|chunk_000::cluster_069,0,0
global_cluster_000009,1,20,Kgwgk,kgwgk,chunk_000::cluster_043,0,0
