rejected_global_cluster_uid,would_be_global_cluster_uid,merge_component_uid,rejection_reason,salience_percentile,salience_cutoff,n_local_clusters,n_mentions,canonical_name,canonical_names,local_cluster_uids,chunk_min,chunk_max
rejected_global_cluster_000000,global_cluster_000001,merge_component_000000,below_global_cluster_salience_percentile,0.95,20,1,19,the Galaxy,the galaxy,chunk_000::cluster_000,0,0
rejected_global_cluster_000003,global_cluster_000005,merge_component_000030,below_global_cluster_salience_percentile,0.95,20,1,14,we,we,chunk_000::cluster_030,0,0
rejected_global_cluster_000004,global_cluster_000006,merge_component_000077,below_global_cluster_salience_percentile,0.95,20,13,13,you,you,chunk_000::cluster_005|chunk_000::cluster_006|chunk_000::cluster_007|chunk_000::cluster_009|chunk_000::cluster_011|chunk_000::cluster_012|chunk_000::cluster_026|chunk_000::cluster_036|chunk_000::cluster_037|chunk_000::cluster_048|chunk_000::cluster_049|chunk_000::cluster_050|chunk_000::cluster_072,0,0
rejected_global_cluster_000016,global_cluster_000018,merge_component_000083,below_global_cluster_salience_percentile,0.95,20,3,8,all those revolving worlds,all the worlds|all those revolving worlds|our world,chunk_000::cluster_024|chunk_000::cluster_035|chunk_000::cluster_063,0,0
rejected_global_cluster_000019,global_cluster_000021,merge_component_000084,below_global_cluster_salience_percentile,0.95,20,3,6,the only one who had ever made signs,the only one who had ever made signs|the sign|those who meant to make a sign,chunk_000::cluster_028|chunk_000::cluster_033|chunk_000::cluster_069,0,0
rejected_global_cluster_000011,global_cluster_000013,merge_component_000079,below_global_cluster_salience_percentile,0.95,20,4,5,the solar system,billions of planets of other solar systems|other solar systems|our system|the solar system,chunk_000::cluster_017|chunk_000::cluster_044|chunk_000::cluster_061|chunk_000::cluster_062,0,0
rejected_global_cluster_000009,global_cluster_000011,merge_component_000045,below_global_cluster_salience_percentile,0.95,20,1,4,the universe,the universe,chunk_000::cluster_045,0,0
rejected_global_cluster_000015,global_cluster_000017,merge_component_000082,below_global_cluster_salience_percentile,0.95,20,2,4,an ordinary spot,an ordinary spot|that spot,chunk_000::cluster_022|chunk_000::cluster_029,0,0
rejected_global_cluster_000001,global_cluster_000002,merge_component_000004,below_global_cluster_salience_percentile,0.95,20,1,2,the Sun,the sun,chunk_000::cluster_004,0,0
rejected_global_cluster_000010,global_cluster_000012,merge_component_000078,below_global_cluster_salience_percentile,0.95,20,2,2,the planets,planets|the planets,chunk_000::cluster_016|chunk_000::cluster_021,0,0
