chunk_id,chunk_index,global_start,global_end,core_start,core_end,left_overlap_start,left_overlap_end,right_overlap_start,right_overlap_end,n_tokens,sentence_start,sentence_end
chunk_000,0,0,5945,0,4506,0,0,4506,5945,5945,0,196
chunk_001,1,3005,8997,4506,7668,3005,4506,7668,8997,5992,196,330
chunk_002,2,6240,12221,7668,10971,6240,7668,10971,12221,5981,330,457
chunk_003,3,9224,15211,10971,13619,9224,10971,13619,15211,5987,457,569
chunk_004,4,12041,18039,13619,16422,12041,13619,16422,18039,5998,569,675
chunk_005,5,14899,20883,16422,19549,14899,16422,19549,20883,5984,675,788
chunk_006,6,17835,23835,19549,22261,17835,19549,22261,23835,6000,788,893
chunk_007,7,20524,26503,22261,25077,20524,22261,25077,26503,5979,893,1007
chunk_008,8,23619,29599,25077,27863,23619,25077,27863,29599,5980,1007,1121
chunk_009,9,26396,32384,27863,30876,26396,27863,30876,32384,5988,1121,1225
chunk_010,10,29183,35182,30876,33903,29183,30876,33903,35182,5999,1225,1342
chunk_011,11,32306,38293,33903,37044,32306,33903,37044,38293,5987,1342,1483
chunk_012,12,35591,41590,37044,40261,35591,37044,40261,41590,5999,1483,1627
chunk_013,13,38805,44777,40261,43351,38805,40261,43351,44777,5972,1627,1760
chunk_014,14,41912,47912,43351,46243,41912,43351,46243,47912,6000,1760,1874
chunk_015,15,44621,48045,46243,48045,44621,46243,48045,48045,3424,1874,1943
