row_index,local_cluster_uid,cluster_canonical_name,mention_text,mention_key,matched_anchor,matched_anchor_key,matched_anchor_n_mentions,match_score,match_method
150,chunk_000::cluster_010,Lady Canterville,Lady Canterville,lady canterville,Lord Canterville,lord canterville,116,0.875,fuzzy
151,chunk_000::cluster_010,Lady Canterville,Lady Canterville,lady canterville,Lord Canterville,lord canterville,116,0.875,fuzzy
158,chunk_000::cluster_010,Lady Canterville,Lady Canterville,lady canterville,Lord Canterville,lord canterville,116,0.875,fuzzy
400,chunk_000::cluster_041,Mrs. Otis,Mrs. Umney,mrs umney,Mrs. Umney,mrs umney,31,1.0,exact
554,chunk_000::cluster_078,Mrs. Umney,Mrs. Otis,mrs otis,Mrs. Otis,mrs otis,110,1.0,exact
570,chunk_000::cluster_083,Sir Simon de Canterville,the wicked Lord Canterville,wicked lord canterville,Lord Canterville,lord canterville,116,0.6666666666666666,token_subset
577,chunk_000::cluster_083,Sir Simon de Canterville,the other ghost,other ghost,the ghost,ghost,1300,0.5,token_subset
1257,chunk_001::cluster_064,his room,Mr. Otis's bedroom,mr otis bedroom,Mr. Otis,mr otis,408,0.6666666666666666,token_subset
1268,chunk_001::cluster_072,Lady Canterville,Lady Canterville,lady canterville,Lord Canterville,lord canterville,116,0.875,fuzzy
1284,chunk_001::cluster_088,there,the room occupied by the United States Minister and his wife,room occupied by the united states minister and his wife,his room,his room,49,0.2,token_subset
1379,chunk_001::cluster_145,the young Duke of Cheshire,Virginia's little lover,virginia little lover,Virginia,virginia,579,0.3333333333333333,token_subset
1380,chunk_001::cluster_145,the young Duke of Cheshire,the little Duke,little duke,the little Duke,little duke,29,1.0,exact
1800,chunk_002::cluster_010,Virginia,Mrs. Otis,mrs otis,Mrs. Otis,mrs otis,110,1.0,exact
1804,chunk_002::cluster_010,Virginia,Mrs. Otis,mrs otis,Mrs. Otis,mrs otis,110,1.0,exact
1806,chunk_002::cluster_010,Virginia,Mrs. Otis,mrs otis,Mrs. Otis,mrs otis,110,1.0,exact
1819,chunk_002::cluster_010,Virginia,Mrs. Otis,mrs otis,Mrs. Otis,mrs otis,110,1.0,exact
1898,chunk_002::cluster_011,Lady Canterville,Lady Canterville,lady canterville,Lord Canterville,lord canterville,116,0.875,fuzzy
1928,chunk_002::cluster_031,there,the room occupied by the United States Minister and his wife,room occupied by the united states minister and his wife,his room,his room,49,0.2,token_subset
1952,chunk_002::cluster_046,the spectre,the other ghost,other ghost,the ghost,ghost,1300,0.5,token_subset
2037,chunk_002::cluster_095,the young Duke of Cheshire,the little Duke,little duke,the little Duke,little duke,29,1.0,exact
2110,chunk_003::cluster_001,the spectre,the other ghost,other ghost,the ghost,ghost,1300,0.5,token_subset
2378,chunk_003::cluster_004,his room,Mr. Otis's bedroom,mr otis bedroom,Mr. Otis,mr otis,408,0.6666666666666666,token_subset
2391,chunk_003::cluster_012,the Cantervilles,the Otis family,otis family,the Otis family,otis family,48,1.0,exact
2394,chunk_003::cluster_012,the Cantervilles,the family,family,the family,family,50,1.0,exact
2626,chunk_003::cluster_041,Virginia,a little girl who had been kidnapped by tramps or gipsies,little girl who had been kidnapped by tramps or gipsies,the gipsies,gipsies,36,0.1,token_subset
2656,chunk_003::cluster_056,the little Duke,Virginia's little lover,virginia little lover,Virginia,virginia,579,0.3333333333333333,token_subset
2674,chunk_003::cluster_056,the little Duke,Cecil,cecil,Cecil,cecil,82,1.0,exact
2707,chunk_003::cluster_059,the house,Canterville,canterville,Lord Canterville,lord canterville,116,0.5,token_subset
2812,chunk_003::cluster_139,the gipsies,the twins,twins,the twins,twins,134,1.0,exact
2824,chunk_003::cluster_139,the gipsies,the twins,twins,the twins,twins,134,1.0,exact
2971,chunk_004::cluster_000,the ghost,a family ghost,family ghost,the family,family,50,0.5,token_subset
3363,chunk_004::cluster_011,Lord Canterville,Virginia's little lover,virginia little lover,Virginia,virginia,579,0.3333333333333333,token_subset
3364,chunk_004::cluster_011,Lord Canterville,the little Duke,little duke,the little Duke,little duke,29,1.0,exact
3366,chunk_004::cluster_011,Lord Canterville,The little Duke of Cheshire,little duke of cheshire,the little Duke,little duke,29,0.5,token_subset
3368,chunk_004::cluster_011,Lord Canterville,the little Duke,little duke,the little Duke,little duke,29,1.0,exact
3381,chunk_004::cluster_011,Lord Canterville,Cecil,cecil,Cecil,cecil,82,1.0,exact
3387,chunk_004::cluster_011,Lord Canterville,the little Duke,little duke,the little Duke,little duke,29,1.0,exact
3388,chunk_004::cluster_011,Lord Canterville,the little Duke,little duke,the little Duke,little duke,29,1.0,exact
